Studio_ID,Studio
67,A.P.P.P.
28,LIDEN FILMS
96,AIC Spirits
6,MADHOUSE
38,Lay-duce
65,ARMS
25,Studio DEEN
1,TMS Entertainment
73,AIC
68,XEBEC
146,Planet
74,P.A. WORKS
68,XEBEC
68,XEBEC
47,SATELIGHT
4,MAPPA
20,SHAFT
43,J.C.Staff
42,GONZO
65,ARMS
25,Studio DEEN
110,Shin-Ei Animation
18,Sunrise
147,Fortes
17,David Production
133,Studio Gokumi
148,ENGI
18,Sunrise
149,Hotline
150,Grouper Productions
151,Aubec
6,MADHOUSE
44,Toei Animation
6,MADHOUSE
96,AIC Spirits
152,Asahi Production
153,Studio OX
73,AIC
43,J.C.Staff
154,Trinet Entertainment
6,MADHOUSE
19,Pierrot
68,XEBEC
75,Zexcs
4,MAPPA
42,GONZO
27,Production I.G
28,LIDEN FILMS
20,SHAFT
73,AIC
73,AIC
51,Telecom Animation Film
88,Triangle Staff
35,Manglobe
139,Seven
6,MADHOUSE
57,SILVER LINK.
155,Pandanium
65,ARMS
101,Khara
71,Ajia-do
78,Daume
72,asread
152,Asahi Production
27,Production I.G
18,Sunrise
156,Takahashi Studio
28,LIDEN FILMS
51,Telecom Animation Film
73,AIC
27,Production I.G
78,Daume
157,Studio Gazelle
25,Studio DEEN
47,SATELIGHT
158,Okinawa Gonzo
119,diomedea
22,A-1 Pictures
96,AIC Spirits
65,ARMS
159,Quebico
25,Studio DEEN
104,GEMBA
25,Studio DEEN
160,Irawiasu
161,L2 Studio
44,Toei Animation
140,ARTMIC Studios
162,Kitty Film Mitaka Studio
134,Studio Junio
52,Artland
163,production doA
93,Pastel
22,A-1 Pictures
164,Dangun Pictures
44,Toei Animation
65,ARMS
165,Ripple Film
126,aNCHOR
166,Studio Hibari
132,Actas
43,J.C.Staff
157,Studio Gazelle
101,Khara
103,Group TAC
33,Magic Bus
7,Lerche
67,A.P.P.P.
45,Hoods Entertainment
42,GONZO
44,Toei Animation
167,Rabbit Gate
27,Production I.G
32,GAINAX
117,feel.
109,Nomad
1,TMS Entertainment
168,IMAGIN
43,J.C.Staff
2,Bones
20,SHAFT
23,Kinema Citrus
43,J.C.Staff
43,J.C.Staff
107,Studio Fantasia
169,Typhoon Graphics
170,St. Signpost
171,Bee Media
1,TMS Entertainment
119,diomedea
109,Nomad
73,AIC
76,Passione
25,Studio DEEN
57,SILVER LINK.
172,EMT Squared
73,AIC
20,SHAFT
73,AIC
65,ARMS
101,Khara
81,Tatsunoko Production
173,Studio Sign
117,feel.
106,Prime Time
44,Toei Animation
109,Nomad
43,J.C.Staff
19,Pierrot
174,Studio Live
73,AIC
66,POLYGON PICTURES
4,MAPPA
45,Hoods Entertainment
6,MADHOUSE
6,MADHOUSE
45,Hoods Entertainment
6,MADHOUSE
6,MADHOUSE
87,Tezuka Productions
41,OLM
88,Triangle Staff
175,Lyrics
176,Studio Unicorn
177,Fall 2015
178,Fall 2018
2,Bones
42,GONZO
179,Studio 4°C
