ID,Name
436,Paranoia Agent
437,You're Under Arrest: Mini-Specials
438,Black Blood Brothers
439,Monster Musume no Iru Nichijou
440,Demon King Daimao
441,Gleipnir
442,Berserk (2017)
443,Blade of the Immortal (2019)
444,Devils' Line
445,Kiba
446,Saiyuki Reload Blast
447,Gunslinger Girl
448,Sengoku Basara: Samurai Kings
449,The Tyrant Falls In Love
450,Trinity Blood
451,Bai Yao Pu
452,Symphogear G
453,Kimi ga Aruji de Shitsuji ga Ore de
454,Higurashi: When They Cry - Gou
455,Mazinkaiser: Shitou! Ankoku Dai Shogun
456,Umineko: When They Cry
457,Children of the Whales
458,Scum's Wish
459,Strike Witches: Road to Berlin
460,Shoubushi Densetsu Tetsuya
461,Sirius the Jaeger
462,Symphogear GX
463,Basilisk
464,Is It Wrong to Try to Pick Up Girls in a Dungeon? OVA
465,Space Pirate Captain Herlock: The Endless Odyssey
466,Strike the Blood: Kieta Seisou-hen
467,Fate/kaleid Liner Prisma Illya 2wei Herz!
468,Armored Trooper Votoms
469,Sankarea OVA
470,Sunday Without God
471,Rewrite 2
472,Fate/Kaleid Liner Prisma Illya 2wei!
473,Pet Shop of Horrors
474,UQ Holder!
475,Cross Ange: Rondo of Angels and Dragons
476,How NOT to Summon a Demon Lord: Omega
477,Canaan
478,Mazinkaiser
479,Rumbling Hearts
480,Rosario + Vampire
481,El-Hazard: The Magnificent World
482,In/Spectre
483,Mahoromatic 2
484,To Love Ru
485,Aesthetica of a Rogue Hero
486,Sonny Boy
487,Infinite Stratos
488,Higurashi no Naku Koro ni Kaku Outbreak
489,The Testament of Sister New Devil BURST
490,Tokyo Ghoul:re 2nd Season
491,Dropkick on My Devil!! Dash
492,Crayon Shin-chan
493,One Piece: Defeat the Pirate Ganzak!
494,Speed Grapher
495,Angolmois: Record of Mongol Invasion
496,Onihei
497,Bureau of Proto Society
498,Solty Rei
499,Xue Se Cang Qiong
500,Mahoromatic
501,Servamp
502,Ajin OVA
503,New Getter Robo
504,Dear Brother
505,Grisaia: Phantom Trigger - Stargazer
506,Boruto: Naruto Next Generations
507,Yuuna and the Haunted Hot Springs OVA
508,Ayakashi: Japanese Classic Horror
509,Jyu-Oh-Sei
510,Tokyo Ghoul:re
511,Freezing
512,Yuuna and the Haunted Hot Springs
513,Seitokaichou ni Chuukoku
514,Dance in the Vampire Bund
515,Mobile Suit Gundam: The 08th MS Team - A Battle With The Third Dimension
516,Tenjho Tenge: Ultimate Fight
517,Ghost in the Shell: SAC_2045
518,A Certain Magical Index III
519,Stop!! Hibari-kun!
520,Gun x Sword
521,The Mystic Archives of Dantalian
522,Kiss x Sis
523,Fuyu no Semi
524,Gunsmith Cats
525,I'm Standing on a Million Lives 2nd Season
526,Witchblade
527,Young Black Jack
528,My Mental Choices are Completely Interfering with my School Romantic Comedy OVA
529,A Sister's All You Need
530,Queen Emeraldas
531,Devil May Cry
532,Cat Shit One
533,Please Twins: The Summer Never Ends
534,Battle Angel Alita
535,Excel Saga
536,Lunar Legend Tsukihime
537,Ginga Hyouryuu Vifam
538,A Little Princess Sara
539,Battle Game in 5 Seconds
540,The Testament of Sister New Devil
541,Yamada's First Time: B Gata H Kei
542,"The Testament of Sister New Devil: Toujo Basara's Hard, Sweet Daily Life"
543,Princess Lover!
544,Deadman Wonderland: The Red Knife Wielder
545,Infinite Stratos Encore: A Sextet Yearns to Be in Love
546,Mashiroiro Symphony: The Color of Lovers
547,Needless
548,Kokkoku: Moment by Moment
549,Tetsujin 28-gou (2004)
550,The Perfect Insider
551,Higurashi: When They Cry - Sotsu
552,Mobile Suit Gundam SEED C.E.73: Stargazer
553,H2O: Footprints in the Sand
554,Gosenzo-sama Banbanzai!
555,Ikoku Irokoi Romantan
556,Legends of the Dark King: A Fist of the North Star Story
557,Photon: The Idiot Adventures
558,Golgo 13
559,High-Rise Invasion
560,Maria the Virgin Witch
561,Muv-Luv Alternative: Total Eclipse
562,Before Green Gables
563,Garo: Vanishing Line
564,Garo The Animation
565,Fist of the North Star: Legend of Yuria
566,Freezing Vibration
567,Ninja Girl & Samurai Master 3rd Season
568,Grisaia: Phantom Trigger
569,Anti-Magic Academy: The 35th Test Platoon
570,Tsugumomo
571,SSSS.Gridman
572,Cat Soup
573,Ebichu
574,Yarichin Bitch-bu
575,GANTZ
576,Terra Formars OVA
577,Tenjho Tenge
578,Nasu: Suitcase no Wataridori
579,Strain: Strategic Armored Infantry
580,Brynhildr in the Darkness
581,Shin Getter Robo vs Neo Getter Robo
582,Please Twins
583,Kaze no Yojimbo
584,Demon Prince Enma
585,Video Girl AI
586,Cop Craft
587,Kiss x Sis TV
588,The Guyver: Bio-Booster Armor
589,Princess Resurrection OVA
590,Shigurui: Death Frenzy
591,Kasei Yakyoku
592,Ikebukuro West Gate Park
593,Our Last Crusade or the Rise of a New World
594,Magical Girl Raising Project
595,Persona 5 the Animation
596,Happy Sugar Life
597,Gravitation
598,Kodomo no Jikan
599,"I Couldn't Become a Hero, So I Reluctantly Decided to Get a Job."
600,Area 88
601,Birdy the Mighty
602,Strike Witches
603,Double Decker! Doug & Kirill
604,Figure 17
605,Yokohama Kaidashi Kikou: Quiet Country Cafe
606,Souten Kouro
607,Kabaneri of the Iron Fortress: Ran Hajimaru Michiato OP
608,Robot on the Road
609,Cat Planet Cuties: Come Drop By
610,Angel Heart
611,Code:Breaker
612,Zetman
613,Bubblegum Crisis
614,Monster Strike the Animation
615,Bludgeoning Angel Dokuro-chan 2
616,Ikkitousen: Xtreme Xecutor
617,Libra of Nil Admirari
618,Brave10
619,Koi Kaze
620,Texhnolyze
621,Mazinkaiser SKL
622,I'm Standing on a Million Lives
623,Girls Bravo: Second Season
624,Kemonozume
625,Samurai Girls
626,Koe de Oshigoto! The Animation
627,3x3 Eyes: Seima Densetsu
628,Himitsu: The Revelation
629,Terra Formars
630,Hammerhead
631,Princess Resurrection
632,Emblem Take 2
633,Brave Witches
634,A.I.C.O. Incarnation
635,Ikkitousen: Great Guardians
636,"I Couldn't Become a Hero, So I Reluctantly Decided to Get a Job. OVA"
637,ViVid Strike!
638,Majuu Sensen
639,Dragon Half
640,Kirepapa.
641,Altered Carbon: Resleeved
642,Plunderer
643,Please Save My Earth
644,Cyber City Oedo 808
645,Be-Bop High School
646,Riding Bean
647,7 Seeds
648,Hanaukyo Maid Team: La Verite
649,Sengoku Basara: End of Judgement
650,The Testament of Sister New Devil BURST: Toujo Basara's Perfectly Peaceful Daily Life
651,New Fist of the North Star
652,Loveless
653,The Animatrix
654,Kyomu Senshi Miroku
655,Berserk (2016)
656,Ladies Versus Butlers!
657,Requiem from the Darkness
658,Zatch Bell!
659,Sukisho
660,Corpse Party: Tortured Souls
661,"So, I Can't Play H!"
662,This Ugly Yet Beautiful World
663,Wo de Nitian Shenqi
664,Zombie-Loan
665,Japan Sinks 2020
666,Konchuu Monogatari Minashigo Hutch (1989)
667,Ai no Kusabi
668,Starship Operators
669,Boogiepop and Others
670,Intrigue in the Bakumatsu: Irohanihoheto
671,Boogiepop and Others PV
672,Higanjima X
673,The Book of Bantorra
674,My Wife is the Student Council President+!
675,Citrus
676,Strait Jacket
677,Shin Koihime Musou: Rival Warlords Vacation on a Tropical Island - There Will Also Be Tentacles!
678,Cuticle Detective Inaba
679,Sadamitsu the Destroyer
680,Blue Gender
681,Ikkitousen: Dragon Destiny
682,Candy Boy
683,Majikoi: Oh! Samurai Girls!
684,Megazone 23
685,Tsugumomo OVA
686,Hundred
687,20min Walk From Nishi-Ogikubo Station
688,Mermaid's Scar
689,A Bridge to the Starry Skies OVA
690,"So, I Can't Play H! OVA"
691,Devilman: The Birth
692,Highschool of the Dead: Drifters of the Dead
693,Shootfighter Tekken - The Tough
694,Devilman: The Demon Bird
695,Switch
696,Kurozuka
697,Magical Witch Punie-chan
698,Macross Dynamite 7
699,Bludgeoning Angel Dokuro-chan
700,Dropkick on My Devil! (Web)
701,"Why the Hell are You Here, Teacher!?"
702,Blade of the Immortal
703,My Wife Is the Student Council President! OVA
704,Dance with Devils
705,"Kamen no Maid Guy: This Summer, Plenty of Breasts"
706,Wo de Tian Jie Nuyou
707,The Hakkenden: Shin Shou
708,R-15 OVA
709,Infinite Dendrogram
710,Redo of Healer
711,Juni Taisen: Zodiac War
712,Mermaid Forest
713,Hiatari Ryoukou!
714,Zenki
715,Rick and Morty: Samurai & Shogun
716,The Promised Neverland 2nd Season
717,Babylon
718,Orguss 02
719,Canvas 2 ~Niji Iro no Sketch~
720,Fist of the Blue Sky
721,Terra Formars: Revenge
722,Girls Bravo
723,Supernatural The Animation
724,Classroom☆Crisis
725,Samurai Bride
726,Muhyo & Roji's Bureau of Supernatural Investigation
727,Kakutou Bijin Wulong Rebirth
728,Nightwalker: The Midnight Detective
729,Kanokon
730,The Galaxy Railways
731,Fairy gone: Part II
732,Dai-Guard
733,Kanokon: The Girl Who Cried Fox
734,Cannon Busters (2019)
735,Punch Line
736,Magia Record: Puella Magi Madoka Magica Side Story
737,Bad Boys
738,Red Garden
739,Ikkitousen: Shuugaku Toushi Keppuuroku
740,Kochoki
741,ESPer Mami
742,Crusher Joe
743,Queen's Blade: Unlimited
744,Cells at Work! Commercial
745,NAKAIMO: My little sister is among them!
746,Full Dive: This Ultimate Next-Gen Full Dive RPG Is Even Shittier than Real Life!
747,Space Runaway Ideon
748,The Fruit of Evolution: Before I Knew It My Life Had It Made
749,Ping Pong Club
750,The Heroic Legend of Arslan (1991)
751,Ninja Scroll: The Series
752,3x3 Eyes
753,Chaos;HEAd
754,Tokko
755,Blue Drop
756,Android Kikaider
757,Megazone 23 Part II
